goos: linux
goarch: amd64
pkg: github.com/kamichidu/go-regexp-re/internal/benchmark
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkLargeAlternation/Count=1000-2                	   30213	     37356 ns/op	28070.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=1000-2                	   32684	     36569 ns/op	28675.10 MB/s	      20 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   22574	     50635 ns/op	20709.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   24601	     49184 ns/op	21320.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   25064	     48251 ns/op	21732.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   23449	     50372 ns/op	20817.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   23278	     48173 ns/op	21767.95 MB/s	      48 B/op	       0 allocs/op
BenchmarkLargeAlternation/Count=10000-2               	   24855	     48258 ns/op	21729.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=Sherlock-2                   	 3406936	       354.5 ns/op	3427610.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=Sherlock-2                   	 3385186	       352.3 ns/op	3448811.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=Sherlock-2                   	 3394873	       353.2 ns/op	3439578.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=Sherlock-2                   	 3377760	       352.3 ns/op	3448691.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=Sherlock-2                   	 3404462	       354.3 ns/op	3428893.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=Sherlock-2                   	 3410246	       351.7 ns/op	3454353.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=The_Adventure_of_the_Speckled_Band-2         	  887371	      1353 ns/op	897710.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=The_Adventure_of_the_Speckled_Band-2         	  888736	      1354 ns/op	897069.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=The_Adventure_of_the_Speckled_Band-2         	  884137	      1356 ns/op	896337.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=The_Adventure_of_the_Speckled_Band-2         	  892114	      1351 ns/op	899348.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=The_Adventure_of_the_Speckled_Band-2         	  886290	      1352 ns/op	898703.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkLiteralScan/pat=The_Adventure_of_the_Speckled_Band-2         	  883150	      1352 ns/op	898972.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkAnchors/pat=^127.0.0.1-2                                     	27580435	        43.41 ns/op	54617641.31 MB/s	       0 B/op	       0 allocs/op
